topic,term,type
Crime & Safety,shrink,anchor term
Crime & Safety,theft,anchor term
Crime & Safety,safety,anchor term
Crime & Safety,worker safety,anchor term
Crime & Safety,police,anchor term
Crime & Safety,law enforcement,anchor term
Crime & Safety,public safety,anchor term
Crime & Safety,organized retail crime,pattern
Crime & Safety,orc,pattern
Crime & Safety,retail theft,pattern
Crime & Safety,shoplifting,pattern
Crime & Safety,shrink,pattern
Crime & Safety,theft,pattern
Crime & Safety,safety,pattern
Crime & Safety,worker safety,pattern
Crime & Safety,police,pattern
Crime & Safety,law enforcement,pattern
Crime & Safety,public safety,pattern
Disability Rights,ADA,anchor term
Disability Rights,accessibility,anchor term
Disability Rights,accessible,anchor term
Disability Rights,Americans with Disabilities Act,anchor term
Disability Rights,disability,anchor term
Disability Rights,neurodiversity,anchor term
Disability Rights,physical disability,anchor term
Disability Rights,sensory friendly,anchor term
Disability Rights,ada,pattern
Disability Rights,accessibility,pattern
Disability Rights,accessible,pattern
Disability Rights,americans with disabilities act,pattern
Disability Rights,disability,pattern
Disability Rights,neurodiversity,pattern
Disability Rights,physical disability,pattern
Disability Rights,sensory friendly,pattern
Drug Pricing,drug affordability,anchor term
Drug Pricing,drug costs,anchor term
Drug Pricing,drug pricing,anchor term
Drug Pricing,insulin costs,anchor term
Drug Pricing,medication costs,anchor term
Drug Pricing,medication pricing,anchor term
Drug Pricing,pharmaceutical costs,anchor term
Drug Pricing,pharmaceutical pricing,anchor term
Drug Pricing,prescription drugs,anchor term
Drug Pricing,drug affordability,pattern
Drug Pricing,drug costs,pattern
Drug Pricing,drug pricing,pattern
Drug Pricing,insulin costs,pattern
Drug Pricing,medication costs,pattern
Drug Pricing,medication pricing,pattern
Drug Pricing,pharmaceutical costs,pattern
Drug Pricing,pharmaceutical pricing,pattern
Drug Pricing,prescription drugs,pattern
Economic Empowerment,affordable housing,anchor term
Economic Empowerment,broadband access,anchor term
Economic Empowerment,child tax credit,anchor term
Economic Empowerment,childcare access,anchor term
Economic Empowerment,cost of living,anchor term
Economic Empowerment,economic opportunity,anchor term
Economic Empowerment,education access,anchor term
Economic Empowerment,financial literacy,anchor term
Economic Empowerment,inflation,anchor term
Economic Empowerment,internet access,anchor term
Economic Empowerment,minimum wage,anchor term
Economic Empowerment,small business support,anchor term
Economic Empowerment,student debt,anchor term
Economic Empowerment,student loans,anchor term
Economic Empowerment,wealth gap,anchor term
Economic Empowerment,affordable housing,pattern
Economic Empowerment,broadband access,pattern
Economic Empowerment,child tax credit,pattern
Economic Empowerment,childcare access,pattern
Economic Empowerment,cost of living,pattern
Economic Empowerment,economic opportunity,pattern
Economic Empowerment,education access,pattern
Economic Empowerment,financial literacy,pattern
Economic Empowerment,inflation,pattern
Economic Empowerment,internet access,pattern
Economic Empowerment,minimum wage,pattern
Economic Empowerment,small business support,pattern
Economic Empowerment,student debt,pattern
Economic Empowerment,student loans,pattern
Economic Empowerment,wealth gap,pattern
Elections & Administration,ballot access,anchor term
Elections & Administration,campaign finance,anchor term
Elections & Administration,election integrity,anchor term
Elections & Administration,election security,anchor term
Elections & Administration,gerrymandering,anchor term
Elections & Administration,voter access,anchor term
Elections & Administration,voter registration,anchor term
Elections & Administration,voter rights,anchor term
Elections & Administration,voter suppression,anchor term
Elections & Administration,voting rights,anchor term
Elections & Administration,ballot access,pattern
Elections & Administration,campaign finance,pattern
Elections & Administration,election integrity,pattern
Elections & Administration,election security,pattern
Elections & Administration,gerrymandering,pattern
Elections & Administration,voter access,pattern
Elections & Administration,voter registration,pattern
Elections & Administration,voter rights,pattern
Elections & Administration,voter suppression,pattern
Elections & Administration,voting rights,pattern
Gender Equity,equal pay,anchor term
Gender Equity,gender equality,anchor term
Gender Equity,gender equity,anchor term
Gender Equity,gender gap,anchor term
Gender Equity,gender pay gap,anchor term
Gender Equity,maternal health,anchor term
Gender Equity,maternity leave,anchor term
Gender Equity,paid leave,anchor term
Gender Equity,parental leave,anchor term
Gender Equity,women's empowerment,anchor term
Gender Equity,women's rights,anchor term
Gender Equity,equal pay,pattern
Gender Equity,gender equality,pattern
Gender Equity,gender equity,pattern
Gender Equity,gender gap,pattern
Gender Equity,gender pay gap,pattern
Gender Equity,maternal health,pattern
Gender Equity,maternity leave,pattern
Gender Equity,paid leave,pattern
Gender Equity,parental leave,pattern
Gender Equity,women's empowerment,pattern
Gender Equity,women's rights,pattern
Health Access,healthcare access,anchor term
Health Access,healthcare affordability,anchor term
Health Access,health equity,anchor term
Health Access,insurance coverage,anchor term
Health Access,medicaid,anchor term
Health Access,medicare,anchor term
Health Access,mental health access,anchor term
Health Access,public health,anchor term
Health Access,rural healthcare,anchor term
Health Access,telehealth,anchor term
Health Access,healthcare access,pattern
Health Access,healthcare affordability,pattern
Health Access,health equity,pattern
Health Access,insurance coverage,pattern
Health Access,medicaid,pattern
Health Access,medicare,pattern
Health Access,mental health access,pattern
Health Access,public health,pattern
Health Access,rural healthcare,pattern
Health Access,telehealth,pattern
Immigration,asylum,anchor term
Immigration,border security,anchor term
Immigration,DACA,anchor term
Immigration,dreamers,anchor term
Immigration,immigration reform,anchor term
Immigration,migrant rights,anchor term
Immigration,pathway to citizenship,anchor term
Immigration,refugees,anchor term
Immigration,asylum,pattern
Immigration,border security,pattern
Immigration,daca,pattern
Immigration,dreamers,pattern
Immigration,immigration reform,pattern
Immigration,migrant rights,pattern
Immigration,pathway to citizenship,pattern
Immigration,refugees,pattern
International Reputational Risks,global human rights,anchor term
International Reputational Risks,international labor standards,anchor term
International Reputational Risks,supply chain ethics,anchor term
International Reputational Risks,trade compliance,anchor term
International Reputational Risks,global human rights,pattern
International Reputational Risks,international labor standards,pattern
International Reputational Risks,supply chain ethics,pattern
International Reputational Risks,trade compliance,pattern
LGBTQ+ Equality,Equality Act,anchor term
LGBTQ+ Equality,gender affirming care,anchor term
LGBTQ+ Equality,LGBTQ+ rights,anchor term
LGBTQ+ Equality,pride,anchor term
LGBTQ+ Equality,same-sex marriage,anchor term
LGBTQ+ Equality,transgender rights,anchor term
LGBTQ+ Equality,equality act,pattern
LGBTQ+ Equality,gender affirming care,pattern
LGBTQ+ Equality,lgbtq+ rights,pattern
LGBTQ+ Equality,pride,pattern
LGBTQ+ Equality,same-sex marriage,pattern
LGBTQ+ Equality,transgender rights,pattern
Nutrition & Food access,food insecurity,anchor term
Nutrition & Food access,food deserts,anchor term
Nutrition & Food access,hunger relief,anchor term
Nutrition & Food access,nutrition assistance,anchor term
Nutrition & Food access,SNAP,anchor term
Nutrition & Food access,WIC,anchor term
Nutrition & Food access,food insecurity,pattern
Nutrition & Food access,food deserts,pattern
Nutrition & Food access,hunger relief,pattern
Nutrition & Food access,nutrition assistance,pattern
Nutrition & Food access,snap,pattern
Nutrition & Food access,wic,pattern
Racial Equity,anti-racism,anchor term
Racial Equity,civil rights,anchor term
Racial Equity,DEI,anchor term
Racial Equity,diversity,anchor term
Racial Equity,equity,anchor term
Racial Equity,inclusion,anchor term
Racial Equity,racial justice,anchor term
Racial Equity,systemic racism,anchor term
Racial Equity,anti-racism,pattern
Racial Equity,civil rights,pattern
Racial Equity,dei,pattern
Racial Equity,diversity,pattern
Racial Equity,equity,pattern
Racial Equity,inclusion,pattern
Racial Equity,racial justice,pattern
Racial Equity,systemic racism,pattern
Religious & Political Diversity,bipartisanship,anchor term
Religious & Political Diversity,freedom of religion,anchor term
Religious & Political Diversity,interfaith dialogue,anchor term
Religious & Political Diversity,political diversity,anchor term
Religious & Political Diversity,religious freedom,anchor term
Religious & Political Diversity,bipartisanship,pattern
Religious & Political Diversity,freedom of religion,pattern
Religious & Political Diversity,interfaith dialogue,pattern
Religious & Political Diversity,political diversity,pattern
Religious & Political Diversity,religious freedom,pattern
Reproductive Rights,abortion access,anchor term
Reproductive Rights,contraception,anchor term
Reproductive Rights,family planning,anchor term
Reproductive Rights,reproductive healthcare,anchor term
Reproductive Rights,reproductive rights,anchor term
Reproductive Rights,women's health,anchor term
Reproductive Rights,abortion access,pattern
Reproductive Rights,contraception,pattern
Reproductive Rights,family planning,pattern
Reproductive Rights,reproductive healthcare,pattern
Reproductive Rights,reproductive rights,pattern
Reproductive Rights,women's health,pattern
Veterans' Rights,armed services,anchor term
Veterans' Rights,first responders,anchor term
Veterans' Rights,military,anchor term
Veterans' Rights,service members,anchor term
Veterans' Rights,Veterans,anchor term
Veterans' Rights,veterans day,anchor term
Veterans' Rights,armed services,pattern
Veterans' Rights,first responders,pattern
Veterans' Rights,military,pattern
Veterans' Rights,service members,pattern
Veterans' Rights,veterans,pattern
Veterans' Rights,veterans day,pattern
Workers’ Rights,401k,anchor term
Workers’ Rights,Collective Bargaining,anchor term
Workers’ Rights,Employee Representation,anchor term
Workers’ Rights,employee rights,anchor term
Workers’ Rights,employee wellfare,anchor term
Workers’ Rights,executive compensation,anchor term
Workers’ Rights,executive pay,anchor term
Workers’ Rights,fair wage,anchor term
Workers’ Rights,labor compliance,anchor term
Workers’ Rights,labor day,anchor term
Workers’ Rights,labor standards,anchor term
Workers’ Rights,Labor Union Partnerships,anchor term
Workers’ Rights,pensions,anchor term
Workers’ Rights,personal time off,anchor term
Workers’ Rights,retirement benefits,anchor term
Workers’ Rights,time off,anchor term
Workers’ Rights,Workers' Rights,anchor term
Workers’ Rights,working conditions,anchor term
Workers’ Rights,workplace equity,anchor term
Workers’ Rights,Workplace Fairness,anchor term
Workers’ Rights,401k,pattern
Workers’ Rights,collective bargaining,pattern
Workers’ Rights,employee representation,pattern
Workers’ Rights,employee rights,pattern
Workers’ Rights,employee wellfare,pattern
Workers’ Rights,executive compensation,pattern
Workers’ Rights,executive pay,pattern
Workers’ Rights,fair wage,pattern
Workers’ Rights,labor compliance,pattern
Workers’ Rights,labor day,pattern
Workers’ Rights,labor standards,pattern
Workers’ Rights,labor union partnerships,pattern
Workers’ Rights,pensions,pattern
Workers’ Rights,personal time off,pattern
Workers’ Rights,retirement benefits,pattern
Workers’ Rights,time off,pattern
Workers’ Rights,workers' rights,pattern
Workers’ Rights,working conditions,pattern
Workers’ Rights,workplace equity,pattern
Workers’ Rights,workplace fairness,pattern
