issue_area,topic,term,type,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,restricted markets,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Sanctions & Compliance,trade restrictions,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Energy & Commodities,oil prices,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Energy & Commodities,energy costs,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Energy & Commodities,energy prices,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Energy & Commodities,LNG,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Energy & Commodities,natural gas,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Energy & Commodities,crude,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Energy & Commodities,fuel costs,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Energy & Commodities,energy security,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Energy & Commodities,power costs,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Energy & Commodities,electricity costs,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Energy & Commodities,sulfur,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Energy & Commodities,aluminum,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,supply chain,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,supply chain disruption,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,supply chain risk,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,shipping,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,freight rates,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,logistics,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,lead times,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,Cape of Good Hope,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,Suez Canal,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,container,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,inventory,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,sourcing,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,procurement,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,materials,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,alternative sourcing,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,operational disruption,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Supply Chain & Logistics,infrastructure damage,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Cybersecurity,cyber,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Cybersecurity,cyberattack,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Cybersecurity,state-sponsored,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Cybersecurity,APT,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Cybersecurity,threat actor,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Cybersecurity,DDoS,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Cybersecurity,threat landscape,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Cybersecurity,critical infrastructure,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Cybersecurity,nation-state,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Cybersecurity,ransomware,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Cybersecurity,incident response,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Cybersecurity,security demand,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,inflation,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,interest rates,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,macroeconomic,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,macro environment,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,macro headwinds,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,volatility,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,currency,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,foreign exchange,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,FX headwinds,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,recession,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,GDP,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,uncertainty,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,outlook,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,risk factors,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,force majeure,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,cost of goods,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,cost of revenue,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,operating costs,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,operating expenses,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,input costs,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,cost pressure,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,cost headwinds,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,price increase,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,pricing power,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,surcharge,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,margin,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,margin pressure,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,gross margin,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,cost savings,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,cost mitigation,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,hedging,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,insurance,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,capital expenditure,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,budget,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,guidance,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,revised guidance,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,demand environment,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Financial & Macroeconomic,spending,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,Middle East revenue,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,EMEA,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,MEA,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,regional operations,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,data center,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,cloud region,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,business continuity,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,Dubai,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,Abu Dhabi,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,Riyadh,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,employee safety,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,employee well-being,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,staff safety,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,evacuation,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,relocation,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,repatriation,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,remote work,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,office closure,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,local operations,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,workforce,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,headcount,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,contractor,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,travel restrictions,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,airspace,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,security protocols,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,duty of care,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Regional Business Operations & Employee Safety,crisis management,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Semiconductor Specific,wafer,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Semiconductor Specific,fab,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Semiconductor Specific,materials shortage,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Semiconductor Specific,chip demand,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Semiconductor Specific,memory,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Semiconductor Specific,HBM,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Semiconductor Specific,capacity constraints,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,manufacturing disruption,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,refugees,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,displaced populations,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,displacement,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,humanitarian,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,humanitarian crisis,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,refugee,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,displaced,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,displacement,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,civilian,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,asylum,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,immigration,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,visa,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,aid,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,donation,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,relief,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,community impact,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,ESG,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,human rights,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,social responsibility,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,employee assistance,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,mental health,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,talent pipeline,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,diaspora,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,internally displaced persons,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,IDPs,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,civilian impact,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,employee safety and well-being,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,employee safety,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,staff safety,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,local staff safety,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,staff relocation,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,relocation of staff,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,evacuation,pattern,,,,,,,,,,,,,,,,,,,,,,
Tech Issues,Humanitarian/Employee,on-the-ground teams,pattern,,,,,,,,,,,,,,,,,,,,,,
